SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20110902,57.3,57.3,53.95,56.85,183024,54044
3IINFOTECH,20110902,27.4,27.8,27.05,27.35,671341,270713
3MINDIA,20110902,4610.0,4771.0,4559.95,4591.75,582,415
A2ZMES,20110902,179.8,183.8,173.85,178.5,97260,16520
AANJANEYA,20110902,425.3,432.0,412.05,428.65,103649,32291
AARTIDRUGS,20110902,115.0,116.0,113.15,113.7,1598,341
AARTIIND,20110902,46.2,49.8,45.0,49.1,44611,26126
AARVEEDEN,20110902,36.0,36.0,34.1,35.1,2006,1760
ABAN,20110902,373.0,389.4,373.0,381.25,718963,76216
ABB,20110902,844.95,862.4,830.35,858.8,37271,10858
ABBOTINDIA,20110902,1479.5,1490.0,1450.0,1482.2,2055,955
ABCIL,20110902,101.6,102.3,99.0,99.4,3444,2219
ABGSHIP,20110902,373.5,379.9,367.15,370.7,98435,25148
ABHISHEK,20110902,10.4,10.8,10.2,10.2,3680,3267
ABIRLANUVO,20110902,934.4,934.4,900.5,914.2,123867,53849
ACC,20110902,1032.85,1034.0,1002.05,1015.25,403430,263245
ACE,20110902,44.75,45.85,43.6,44.75,38092,27347
ACKRUTI,20110902,200.95,203.35,195.6,197.15,14153,5433
ACROPETAL,20110902,14.85,15.1,14.2,14.8,69243,40423
ADANIENT,20110902,539.8,542.1,527.0,532.75,498496,326564
ADANIPOWER,20110902,92.05,92.85,88.15,88.9,546195,229709
ADFFOODS,20110902,54.5,56.0,54.3,55.7,8629,6962
ADHUNIK,20110902,56.75,57.8,54.6,54.7,88685,68666
ADORWELD,20110902,154.0,155.95,152.15,153.1,1478,1307
ADSL,20110902,23.8,24.9,23.7,24.9,102793,48438
ADVANIHOTR,20110902,35.2,35.2,35.2,35.2,90,90
ADVANTA,20110902,355.0,358.85,344.0,350.3,69524,9500
AEGISCHEM,20110902,190.95,191.85,187.55,188.7,4299,2436
AFL,20110902,38.5,38.5,37.85,38.0,3351,3249
AFTEK,20110902,11.35,11.45,11.3,11.35,45814,26902
AGCNET,20110902,116.8,119.5,112.6,113.35,1038,841
AGRE,20110902,40.15,42.0,40.15,41.85,1276,799
AGRODUTCH,20110902,7.5,7.9,7.35,7.7,34548,19126
AHLEAST,20110902,287.55,296.9,287.55,294.45,836,728
AHLUCONT,20110902,115.5,116.0,112.05,113.4,14455,12652
AHLWEST,20110902,153.55,153.55,151.0,151.8,209,110
AHMEDFORGE,20110902,107.05,107.95,106.0,107.2,1926,1232
AIAENG,20110902,324.2,346.0,324.2,338.0,455267,453738
AJANTPHARM,20110902,315.0,320.0,312.0,315.6,9685,3883
AJMERA,20110902,117.0,121.0,115.0,117.65,15393,4544
AKSHOPTFBR,20110902,6.85,6.85,6.45,6.55,31562,19758
AKZOINDIA,20110902,944.95,962.8,929.9,933.65,2377,1097
ALBK,20110902,180.1,180.35,173.75,175.3,563648,239187
ALCHEM,20110902,260.1,266.25,255.0,262.7,121926,32595
ALEMBICLTD,20110902,18.6,18.85,18.45,18.55,30948,15074
ALFALAVAL,20110902,1733.0,1750.0,1695.0,1705.05,2258,1422
ALKALI,20110902,39.25,41.15,39.25,40.3,6017,2253
ALKYLAMINE,20110902,87.5,102.65,82.4,92.85,50795,2679
ALLCARGO,20110902,151.0,153.0,149.0,149.85,10942,10637
ALLSEC,20110902,14.85,14.95,13.0,13.7,5473,3408
