SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20210208,37.1,37.5,35.5,36.7,145057,88154
21STCENMGM,20210208,11.45,11.45,11.15,11.45,7386,4958
3IINFOTECH,20210208,7.1,7.1,6.8,6.8,10449708,5644737
3MINDIA,20210208,20907.75,21549.45,20907.75,21485.05,15009,8834
3PLAND,20210208,9.7,10.25,9.5,9.55,14066,8712
5PAISA,20210208,283.0,283.0,267.45,271.75,20452,10763
618GS2024,20210208,104.4,104.7,104.4,104.7,1000,1000
63MOONS,20210208,83.0,84.0,80.5,80.85,114289,73949
667GS2050,20210208,102.0,102.0,102.0,102.0,200,200
A2ZINFRA,20210208,4.5,4.5,4.25,4.45,411277,280541
AAATECH,20210208,42.15,42.15,42.05,42.05,27000,21000
AARON,20210208,49.95,49.95,48.35,49.2,1942,1437
AARTIDRUGS,20210208,680.0,681.1,671.8,673.0,263982,130358
AARTIIND,20210208,1189.5,1220.0,1183.5,1191.7,251819,117009
AARTISURF,20210208,989.0,1021.65,965.3,982.6,37447,12572
AARVEEDEN,20210208,21.7,21.7,20.1,21.05,30087,26614
AARVI,20210208,42.65,45.0,42.0,43.3,8169,6690
AAVAS,20210208,2004.8,2089.0,1942.45,2067.2,259307,178926
ABAN,20210208,29.0,31.7,28.75,30.75,559578,287821
ABB,20210208,1496.0,1504.75,1475.05,1481.95,90255,34560
ABBOTINDIA,20210208,14560.0,14589.0,14260.45,14500.6,29673,19486
ABCAPITAL,20210208,91.55,92.7,88.7,91.9,6890154,2232741
ABFRL,20210208,170.0,172.4,163.15,164.4,8882503,3475111
ABMINTLTD,20210208,35.9,35.9,32.5,35.8,11673,10122
ABSLBANETF,20210208,370.0,377.75,356.51,358.69,351,202
ABSLNN50ET,20210208,342.0,342.0,330.2,330.63,89,84
ABSLRIF6RG,20210208,8.0,8.0,7.7,7.96,20500,20500
ACC,20210208,1736.0,1776.0,1727.0,1763.9,1247842,228456
ACCELYA,20210208,951.95,953.1,930.0,934.45,5002,3194
ACCURACY,20210208,50.5,50.5,47.2,50.0,48292,37322
ACE,20210208,159.9,165.25,153.1,159.25,1533349,727322
ACRYSIL,20210208,218.8,218.8,218.8,218.8,14776,14776
ADANIENT,20210208,605.4,638.0,603.55,628.3,7085276,719083
ADANIGREEN,20210208,1070.0,1097.2,1055.2,1063.45,431477,266074
ADANIPORTS,20210208,572.15,594.0,571.1,582.05,8887710,1676333
ADANIPOWER,20210208,52.85,54.5,52.6,53.05,4410119,2092335
ADANITRANS,20210208,530.25,590.0,530.25,571.55,1235134,559787
ADFFOODS,20210208,676.5,709.0,672.45,702.3,103120,35187
ADHUNIKIND,20210208,22.7,23.5,21.9,22.3,57462,40667
ADORWELD,20210208,292.0,304.7,283.1,296.15,72815,29454
ADROITINFO,20210208,9.6,10.0,9.15,9.85,2027,1679
ADSL,20210208,40.45,40.85,39.0,39.2,103659,43664
ADVANIHOTR,20210208,47.7,49.1,47.4,48.85,11425,10348
ADVENZYMES,20210208,335.05,367.9,335.05,364.35,1761276,611565
AEGISCHEM,20210208,297.65,318.95,294.9,315.7,897620,407625
AFFLE,20210208,4400.0,4578.95,4215.2,4286.05,442939,111013
AGCNET,20210208,830.1,859.95,830.05,850.85,7954,6380
AGRITECH,20210208,38.5,38.5,36.3,37.05,9906,8336
AGROPHOS,20210208,13.75,14.2,13.7,13.75,44844,31124
AHLADA,20210208,68.75,68.9,62.5,65.35,12247,10010
AHLEAST,20210208,161.15,166.0,157.55,161.5,1208,734
AHLUCONT,20210208,306.4,317.0,300.0,315.25,169573,102795
AHLWEST,20210208,251.8,251.8,246.3,247.05,536,491
AIAENG,20210208,2020.0,2021.9,1970.0,1978.7,24875,15045
AIRAN,20210208,18.3,19.0,18.3,18.85,108720,98271
AIROLAM,20210208,29.0,29.0,29.0,29.0,3000,3000
AISL,20210208,26.75,26.8,26.75,26.8,2400,2400
AJANTPHARM,20210208,1820.0,1833.35,1797.65,1811.0,176050,109706
AJMERA,20210208,135.4,137.0,131.6,133.85,89041,35826
AJOONI,20210208,33.45,33.45,32.0,32.0,8000,4000
AKASH,20210208,237.95,237.95,224.2,229.9,102903,101160
AKG,20210208,85.65,85.65,85.65,85.65,6400,6400
AKSHARCHEM,20210208,262.3,266.0,260.1,264.15,11665,6851
AKSHOPTFBR,20210208,7.0,7.2,6.85,6.9,306400,224186
AKZOINDIA,20210208,2294.0,2316.95,2265.0,2269.8,10452,7493
ALANKIT,20210208,17.35,17.35,16.8,16.95,114087,89616
ALBERTDAVD,20210208,442.05,463.9,442.0,458.9,45210,13878
ALEMBICLTD,20210208,99.6,108.35,99.2,106.8,2172589,1028849
ALICON,20210208,426.2,432.0,422.15,428.8,5530,3612
ALKALI,20210208,55.4,57.7,55.4,56.05,7815,4642
ALKEM,20210208,2965.0,2966.05,2877.0,2901.95,159798,88769
ALKYLAMINE,20210208,4994.95,5078.95,4990.0,5047.6,27019,12307
ALLCARGO,20210208,131.0,135.0,131.0,133.75,390326,189058
ALLSEC,20210208,293.75,319.05,284.45,311.65,77726,41867
ALMONDZ,20210208,21.0,21.8,20.65,21.55,16579,13980
ALOKINDS,20210208,21.0,21.1,20.85,20.9,6475878,3448128
ALPA,20210208,38.55,40.45,38.55,39.85,141664,82403
ALPHAGEO,20210208,208.15,219.4,206.55,215.9,55626,40555
AMARAJABAT,20210208,948.65,994.0,944.0,977.45,1745360,235973
AMBANIORG,20210208,43.95,47.0,43.95,47.0,4000,4000
AMBER,20210208,2749.9,2771.2,2720.0,2736.7,61970,20787
AMBIKCO,20210208,995.0,995.0,963.1,967.1,18612,13337
AMBUJACEM,20210208,272.5,278.2,272.0,274.35,5445773,2223445
AMDIND,20210208,18.5,18.6,18.0,18.1,10397,8777
AMJLAND,20210208,26.55,27.4,25.35,25.6,17248,12107
AMJUMBO,20210208,12.2,13.0,12.2,12.2,304000,248000
AMRUTANJAN,20210208,519.0,527.0,517.0,523.5,42781,19938
ANANTRAJ,20210208,41.7,43.4,41.7,43.4,993904,907371
ANDHRACEMT,20210208,5.55,5.8,5.55,5.65,197927,131738
ANDHRAPAP,20210208,221.0,223.0,216.9,218.9,40748,29130
ANDHRSUGAR,20210208,305.6,313.3,305.6,308.15,48248,28679
ANGELBRKG,20210208,341.8,346.45,339.4,345.2,209225,131548
