SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20210205,37.85,38.4,36.6,36.85,98353,66751
21STCENMGM,20210205,11.25,11.25,11.25,11.25,3932,3932
3IINFOTECH,20210205,7.3,7.4,6.95,7.0,9613106,6010729
3MINDIA,20210205,21220.0,21375.0,20381.55,20907.75,4954,1931
3PLAND,20210205,9.95,10.25,9.5,9.7,4324,3036
5PAISA,20210205,275.7,279.0,271.25,273.5,19227,11090
622GS2035,20210205,99.9,100.79,99.9,100.79,500,500
63MOONS,20210205,77.2,85.45,74.05,83.15,435464,209259
667GS2050,20210205,102.0,102.75,102.0,102.75,80,40
716GS2050,20210205,100.75,100.75,100.75,100.75,5,5
A2ZINFRA,20210205,4.6,4.6,4.45,4.45,324210,194343
AAATECH,20210205,42.2,42.2,42.2,42.2,3000,3000
AARON,20210205,50.2,50.2,46.55,48.15,2913,1888
AARTIDRUGS,20210205,681.8,689.45,675.3,677.3,271092,114797
AARTIIND,20210205,1192.0,1198.0,1175.1,1190.45,183614,102160
AARTISURF,20210205,1023.8,1023.8,960.45,973.0,74270,28173
AARVEEDEN,20210205,20.1,21.95,19.25,20.5,11535,8176
AARVI,20210205,45.9,45.9,40.3,41.3,10658,6520
AAVAS,20210205,1988.25,2021.0,1955.05,1996.5,48554,24936
ABAN,20210205,29.6,30.65,28.7,28.85,116658,74603
ABB,20210205,1518.0,1523.85,1481.6,1495.3,79091,24244
ABBOTINDIA,20210205,14542.5,14550.0,14405.0,14477.75,22721,16616
ABCAPITAL,20210205,91.0,91.9,89.4,90.15,3654733,1353967
ABFRL,20210205,158.85,169.9,158.0,166.75,6805330,3049681
ABINFRA,20210205,6.65,6.65,6.65,6.65,4000,4000
ABMINTLTD,20210205,34.2,34.2,34.2,34.2,2169,2014
ABSLBANETF,20210205,338.03,363.03,338.03,354.86,3244,3032
ABSLNN50ET,20210205,342.0,342.0,326.35,330.0,181,58
ABSLRIF6RG,20210205,8.01,8.28,8.01,8.28,25,25
ABSLRIF7RG,20210205,10.0,10.0,10.0,10.0,10,10
ACC,20210205,1755.0,1763.0,1715.0,1723.0,1089231,248749
ACCELYA,20210205,975.2,975.2,945.0,951.95,9460,4604
ACCURACY,20210205,38.25,45.95,38.0,45.95,28659,17196
ACE,20210205,155.7,163.0,148.25,150.25,671485,469571
ACRYSIL,20210205,202.4,208.4,198.1,208.4,197877,158402
ADANIENT,20210205,595.0,607.85,588.6,595.35,4754950,549258
ADANIGREEN,20210205,1101.0,1131.0,1053.75,1077.15,692820,357810
ADANIPORTS,20210205,571.0,573.95,561.65,566.95,5586868,1627931
ADANIPOWER,20210205,53.0,53.9,52.05,52.3,5894618,3188473
ADANITRANS,20210205,531.0,544.95,517.55,529.25,1328135,315337
ADFFOODS,20210205,691.6,692.35,666.0,672.45,84828,33534
ADHUNIKIND,20210205,23.5,23.85,22.5,22.7,10631,8681
ADORWELD,20210205,302.6,305.0,292.0,294.95,21291,11812
ADROITINFO,20210205,9.2,9.55,9.2,9.55,159,159
ADSL,20210205,40.35,42.1,38.0,40.05,133573,71557
ADVANIHOTR,20210205,47.8,47.8,46.8,47.05,6102,5225
ADVENZYMES,20210205,340.0,342.75,331.6,334.3,208894,93974
AEGISCHEM,20210205,297.0,302.95,293.5,295.3,267464,155260
AFFLE,20210205,3850.0,4174.55,3834.4,4174.55,416049,164809
AGCNET,20210205,898.0,909.9,845.0,848.65,10728,7733
AGRITECH,20210205,38.25,41.0,35.0,35.6,24289,15529
AGROPHOS,20210205,14.5,14.5,13.75,13.8,34480,23203
AHLADA,20210205,68.9,69.0,65.55,66.1,41685,34032
AHLEAST,20210205,163.0,163.0,156.9,157.45,1814,1419
AHLUCONT,20210205,276.5,304.8,276.3,299.5,244605,132351
AHLWEST,20210205,249.65,250.05,243.7,245.25,1190,780
AIAENG,20210205,2068.0,2069.95,1992.5,1999.75,11228,5238
AIRAN,20210205,18.75,19.0,18.0,18.5,39671,19882
AIROLAM,20210205,28.0,30.0,28.0,30.0,6000,3000
AISL,20210205,25.55,25.55,25.55,25.55,1200,1200
AJANTPHARM,20210205,1826.9,1826.9,1792.75,1814.4,128480,63601
AJMERA,20210205,136.7,138.2,134.2,134.9,71622,29300
AKASH,20210205,233.05,233.05,224.6,225.55,1231,535
AKG,20210205,94.5,94.5,90.15,90.15,19200,19200
AKSHARCHEM,20210205,266.9,271.0,257.95,260.75,12784,8271
AKSHOPTFBR,20210205,7.25,7.25,6.95,7.0,166204,122135
AKZOINDIA,20210205,2295.5,2317.15,2260.0,2275.1,7435,4449
ALANKIT,20210205,17.3,17.3,16.75,17.0,74441,54099
ALBERTDAVD,20210205,458.8,460.9,430.1,441.7,13276,7813
ALEMBICLTD,20210205,102.1,102.6,98.5,98.9,383855,204036
ALICON,20210205,431.55,433.7,421.1,423.7,4823,2569
ALKALI,20210205,58.25,58.25,54.6,54.9,7871,6145
ALKEM,20210205,3014.7,3015.0,2919.0,2943.95,216978,105875
ALKYLAMINE,20210205,5015.0,5048.0,4926.6,4952.75,19107,7935
ALLCARGO,20210205,130.1,131.45,129.55,130.35,167041,84094
ALLSEC,20210205,296.95,301.75,290.0,292.3,6502,4670
ALMONDZ,20210205,20.55,21.0,20.55,20.9,8622,8230
ALOKINDS,20210205,21.4,21.55,20.85,20.9,8830816,3696953
ALPA,20210205,39.5,39.5,38.2,38.85,59988,44008
ALPHAGEO,20210205,210.2,216.0,203.05,207.7,36796,24863
AMARAJABAT,20210205,962.5,964.4,935.8,940.6,540240,144888
AMBER,20210205,2727.0,2754.0,2690.3,2705.0,50695,16098
AMBIKCO,20210205,1020.0,1031.65,972.0,977.5,14218,7880
AMBUJACEM,20210205,273.0,275.6,268.55,271.3,5119967,1165062
AMDIND,20210205,18.8,18.9,18.1,18.2,14195,11442
AMJLAND,20210205,27.25,27.8,25.8,26.25,22506,12478
AMRUTANJAN,20210205,518.4,521.1,515.05,516.75,17742,8735
ANANTRAJ,20210205,40.0,42.0,40.0,41.35,975113,688001
ANDHRACEMT,20210205,6.0,6.0,5.7,5.75,251492,201672
ANDHRAPAP,20210205,220.0,222.0,214.2,215.65,23004,12653
ANDHRSUGAR,20210205,320.0,325.0,306.0,308.85,99352,54937
ANGELBRKG,20210205,344.0,353.1,337.15,339.2,176012,84915
ANIKINDS,20210205,16.15,16.25,15.6,16.0,15381,10943
ANSALAPI,20210205,6.55,6.8,6.5,6.5,156200,152469
ANSALHSG,20210205,6.15,6.15,5.85,5.95,12276,10968
ANUP,20210205,608.4,608.4,591.55,593.5,22778,12391
APARINDS,20210205,385.1,389.5,370.0,373.35,131142,76479
APCL,20210205,221.85,233.0,217.3,224.5,179507,102972
APCOTEXIND,20210205,182.0,188.0,179.1,181.95,126143,56958
APEX,20210205,282.95,283.65,277.6,278.65,62633,32412
APLAPOLLO,20210205,932.0,936.0,920.1,927.75,104458,74384
APLLTD,20210205,945.05,947.95,928.1,932.7,298438,184329
APOLLO,20210205,122.45,123.5,118.55,119.2,163799,100308
APOLLOHOSP,20210205,2740.0,2783.0,2687.65,2738.6,941316,403867
APOLLOPIPE,20210205,711.85,717.8,684.05,705.25,26768,12485
APOLLOTYRE,20210205,245.8,249.95,235.0,241.6,24192684,2122431
APOLSINHOT,20210205,572.75,572.75,561.2,562.9,1000,760
APTECHT,20210205,223.3,225.35,213.15,216.0,669796,144193
ARCHIES,20210205,12.75,12.9,12.6,12.7,68030,55389
ARENTERP,20210205,11.5,12.0,11.15,11.35,5266,3529
ARIES,20210205,101.05,102.95,98.7,99.5,58812,31928
ARIHANT,20210205,25.5,25.6,23.5,24.3,11341,2311
ARIHANTSUP,20210205,36.05,38.95,35.05,37.45,16180,3591
ARMANFIN,20210205,716.25,729.9,711.0,716.75,8671,5374
AROGRANITE,20210205,46.45,48.6,44.95,45.15,32118,19148
ARROWGREEN,20210205,56.2,58.95,56.2,57.0,5187,3350
